name,image,class,subclass,tags,durability,strength,range,arrows,defense,defense_upgrade_lvl1,defense_upgrade_lvl2,defense_upgrade_lvl3,defense_upgrade_lvl4,bonus,description,selling_price,bonus_set,upgrade_1,upgrade_2,upgrade_3,upgrade_4,armor_upgrade,where_to_find,notes
Ancient Short Sword,BotW_Ancient_Short_Sword_Icon.png?version=486c93e286f8dc379cec15fcc5cb2610 (https://dl.airtable.com/GmK5Qk1sTSq6va51mP3H_BotW_Ancient_Short_Sword_Icon.png%3Fversion%3D486c93e286f8dc379cec15fcc5cb2610),Weapon,Light,,54,40,,,,,,,,,"The blade of this sword was made using an ancient power lost to this modern age. Its blade appears only when drawn, and its cutting power surpasses metal swords.",,,,,,,,,
Blizzard Rod,BotW_Blizzard_Rod_Icon.png?version=f9bd2bfd01056fb6390ae4e60d28e7a5 (https://dl.airtable.com/J4A7IPdnTZePg1wA6TbE_BotW_Blizzard_Rod_Icon.png%3Fversion%3Df9bd2bfd01056fb6390ae4e60d28e7a5),Weapon,Light,,32,10,,,,,,,,,A magical rod that can cast extreme cold in a wide range. These are crafted from refined ice found at the summit of Hebra Peak. It will break when depleted.,,,,,,,,,
Boko Club,BotW_Boko_Club_Icon.png?version=e018fd887fdac13d06b446fb28fac5da (https://dl.airtable.com/C3bQRkfrR4mYGYSRRjSU_BotW_Boko_Club_Icon.png%3Fversion%3De018fd887fdac13d06b446fb28fac5da),Weapon,Light,,8,4,,,,,,,,,"A crude Bokoblin club made to clobber small prey. It's essentially a stick, so its durability is low.",,,,,,,,,
Bokoblin Arm,BotW_Bokoblin_Arm_Icon.png?version=be25984d7c028c958c461bf44673fb07 (https://dl.airtable.com/daDqQOmyTZmmT22qYHKo_BotW_Bokoblin_Arm_Icon.png%3Fversion%3Dbe25984d7c028c958c461bf44673fb07),Weapon,Light,,5,5,,,,,,,,,"A skeletal arm that keeps moving even after it's severed from its body. It's kind of gross to strap it to your back, but it'll do in a pinch. It's old and fragile, so it's quick to break.",,,,,,,,,
Boomerang,BotW_Boomerang_Icon.png?version=96318352d5aae4edd4a364e5fad0f1c4 (https://dl.airtable.com/lUHkRhzXSD2EKDBAiHGC_BotW_Boomerang_Icon.png%3Fversion%3D96318352d5aae4edd4a364e5fad0f1c4),Weapon,Light,,18,8,,,,,,,,,This throwing weapon was originally used by the forest-dwelling Koroks. Its unique shape allows it to return after being thrown.,,,,,,,,,
Demon Carver,BotW_Demon_Carver_Icon.png?version=db18075e98d136f94140977003a9cf88 (https://dl.airtable.com/eo2LUMz5T86xt3jGlkgF_BotW_Demon_Carver_Icon.png%3Fversion%3Ddb18075e98d136f94140977003a9cf88),Weapon,Light,,25,40,,,,,,,,,This lethal weapon is forged by the Yiga. Its unique shape facilitates the sound dispatching of any target and strikes fear into the hearts of all who see it.,,,,,,,,,
Dragonbone Boko Club,BotW_Dragonbone_Boko_Club_Icon.png?version=d285ae0ccf505956cb073e30cbb282de (https://dl.airtable.com/f2oWRRZSQOKeVVmALfhw_BotW_Dragonbone_Boko_Club_Icon.png%3Fversion%3Dd285ae0ccf505956cb073e30cbb282de),Weapon,Light,,18,24,,,,,,,,,This Bokoblin club has been reinforced with fossilized bones to maximize clobbering potential. Only the brawniest of Bokoblins can manage its immense weight.,,,,,,,,,
Eightfold Blade,BotW_Eightfold_Blade_Icon.png?version=953b1fac46cd8f46756a527d95fd2bb6 (https://dl.airtable.com/qrWAivrjSeCiR3zx21j0_BotW_Eightfold_Blade_Icon.png%3Fversion%3D953b1fac46cd8f46756a527d95fd2bb6),Weapon,Light,,26,15,,,,,,,,,A single-edged sword traditional to the Sheikah tribe. Forged using ancient technology it just may be among the sharpest conventional weapons ever made.,,,,,,,,,
Fire Rod,BotW_Fire_Rod_Icon.png?version=9c9230bc9f584ec7caea7fc9250e3902 (https://dl.airtable.com/QhCUaa9vTxKMeGXLwwFG_BotW_Fire_Rod_Icon.png%3Fversion%3D9c9230bc9f584ec7caea7fc9250e3902),Weapon,Light,,14,5,,,,,,,,,"A magical rod that can cast fireballs. The rod will break if it strikes something directly, so use it wisely.",,,,,,,,,
Fishing Harpoon,BotW_Fishing_Harpoon_Icon.png?version=36b5a7a906a4e39ca6c44babe60eb725 (https://dl.airtable.com/q8QMCchNRWS6HG7sSt43_BotW_Fishing_Harpoon_Icon.png%3Fversion%3D36b5a7a906a4e39ca6c44babe60eb725),Weapon,Light,,12,8,,,,,,,,,A fisherman's tool that excels at catching large fish. Its particularly sharp spearhead makes it valuable as a weapon as well.,,,,,,,,,
Flameblade,BotW_Flameblade_Icon.png?version=378880baed6c492c14e7d5c2ada13c49 (https://dl.airtable.com/NuxWTxSR0m9db9gmKNvy_BotW_Flameblade_Icon.png%3Fversion%3D378880baed6c492c14e7d5c2ada13c49),Weapon,Light,,36,24,,,,,,,,,This magical sword was forged in the lava of Death Mountain. It leaves white-hot flames in its wake when the blade glows red.,,,,,,,,,
Forest Dweller's Sword,BotW_Forest_Dweller%27s_Sword_Icon.png?version=88623c7e6379130b616c5fa90614ee43 (https://dl.airtable.com/fq9Qw3JDQLudI8PSlM5y_BotW_Forest_Dweller%2527s_Sword_Icon.png%3Fversion%3D88623c7e6379130b616c5fa90614ee43),Weapon,Light,,27,22,,,,,,,,,"Koroks made this sword for Hylians. It's made of wood, so it isn't the best choice for head-on attacks. Its original intent was likely clearing vines to forge paths through forests.",,,,,,,,,
Frostblade,BotW_Frostblade_Icon.png?version=af048125d87020f92ecbec3f7e3d9001 (https://dl.airtable.com/DJMqV7zEQXeZ8psrp31p_BotW_Frostblade_Icon.png%3Fversion%3Daf048125d87020f92ecbec3f7e3d9001),Weapon,Light,,30,20,,,,,,,,,"A magical sword forged in the frigid mountains of the Hebra region. When the blade glows blue, enemies struck by it will become frozen.",,,,,,,,,
Gerudo Scimitar,BotW_Gerudo_Scimitar.png?version=df8d9bb8601c11092a8745449ec98151 (https://dl.airtable.com/3Ul2RSAJT9OBQkP4JVa7_BotW_Gerudo_Scimitar.png%3Fversion%3Ddf8d9bb8601c11092a8745449ec98151),Weapon,Light,,23,16,,,,,,,,,"This common sword is often carried by Gerudo women for self-defense. Its short, curved blade is easily recognized.",,,,,,,,,
Goddess Sword,BotW_Goddess_Sword_Icon.png?version=e1ef7f990d4114f63e1030114dac1fa2 (https://dl.airtable.com/TkLzOOnjTFOmDZPcXUWC_BotW_Goddess_Sword_Icon.png%3Fversion%3De1ef7f990d4114f63e1030114dac1fa2),Weapon,Light,,45,28,,,,,,,,,"A sword said to have once belonged to a hero from the sky. Its blade houses the fire of the Goddess. When wielded, a strange yet heavenly breeze kicks up around you.",,,,,,,,,
